pmt_id,channel_id,pmt_in_tpc_plane,pmt_sn,sector_label,ch_number,pmt_position_code,hv_cable_label,signal_cable_label,light_fiber_label,digitizer_label,digitizer_ch_number,hv_supply_label,hv_supply_ch_number,match_ch_sy1527
328,32,EE,FB0245,2R-6,10,8,B18-10,A17-10,33,EE-Bot-A,3,PMT2-RA4,10,11
329,31,EE,FB0403,2R-6,7,9,B18-07,A17-07,33,EE-Bot-A,9,PMT2-RA4,7,8
330,30,EE,FB0395,2R-6,9,10,B18-09,A17-09,33,EE-Bot-A,4,PMT2-RA4,9,10
331,29,EE,FB0451,2R-7,2,1,B21-02,A04-02,34,EE-Bot-B,9,PMT2-RA4,12,13
332,28,EE,FB0455,2R-7,4,2,B21-04,A04-04,34,EE-Bot-B,4,PMT2-RA4,14,15
333,27,EE,FB0402,2R-7,1,3,B21-01,A04-01,34,EE-Bot-B,10,PMT2-RA4,11,12
334,26,EE,FB0357,2R-7,3,4,B21-03,A04-03,34,EE-Bot-B,14,PMT2-RA4,13,14
335,25,EE,FB0324,2R-7,5,5,B21-05,A04-05,34,EE-Bot-B,3,PMT2-RA4,15,16
336,24,EE,FB0330,2R-7,6,6,B21-06,A04-06,34,EE-Bot-B,8,PMT2-RA4,16,17
337,23,EE,FB0456,2R-7,8,7,B21-08,A04-08,34,EE-Bot-B,13,PMT2-RA4,18,19
338,22,EE,FB0317,2R-7,10,8,B21-10,A04-10,34,EE-Bot-B,1,PMT2-RA4,20,21
339,21,EE,FB0316,2R-7,7,9,B21-07,A04-07,34,EE-Bot-B,7,PMT2-RA4,17,18
340,20,EE,FB0281,2R-7,9,10,B21-09,A04-09,34,EE-Bot-B,2,PMT2-RA4,19,20
341,19,EE,FB0341,2R-8,2,1,B19-02,A07-02,35,EE-Bot-C,7,PMT2-RA4,22,23
342,18,EE,FB0274,2R-8,4,2,B19-04,A07-04,35,EE-Bot-C,2,PMT2-RA4,24,25
343,17,EE,FB0314,2R-8,1,3,B19-01,A07-01,35,EE-Bot-C,8,PMT2-RA4,21,22
344,16,EE,FB0405,2R-8,3,4,B19-03,A07-03,35,EE-Bot-C,15,PMT2-RA4,23,24
345,15,EE,FB0298,2R-8,5,5,B19-05,A07-05,35,EE-Bot-C,1,PMT2-RA4,25,26
346,14,EE,FB0275,2R-8,6,6,B19-06,A07-06,35,EE-Bot-B,12,PMT2-RA4,26,27
347,13,EE,FB0377,2R-8,8,7,B19-08,A07-08,35,EE-Bot-B,15,PMT2-RA4,28,29
348,12,EE,FB0259,2R-8,10,8,B19-10,A07-10,35,EE-Bot-B,5,PMT2-RA4,30,31
349,11,EE,FB0457,2R-8,7,9,B19-07,A07-07,35,EE-Bot-B,11,PMT2-RA4,27,28
350,10,EE,FB0368,2R-8,9,10,B19-09,A07-09,35,EE-Bot-B,6,PMT2-RA4,29,30
351,9,EE,FB0293,2R-9,2,1,B13-02,A18-02,36,EE-Bot-C,11,PMT2-RA4,32,33
352,8,EE,FB0401,2R-9,4,2,B13-04,A18-04,36,EE-Bot-C,6,PMT2-RA4,34,35
353,7,EE,FB0315,2R-9,1,3,B13-01,A18-01,36,EE-Bot-C,12,PMT2-RA4,31,32
354,6,EE,FB0433,2R-9,3,4,B13-03,A18-03,36,EE-Bot-C,14,PMT2-RA4,33,34
355,5,EE,FB0257,2R-9,5,5,B13-05,A18-05,36,EE-Bot-C,5,PMT2-RA4,35,36
356,4,EE,FB0148,2R-9,6,6,B13-06,A18-06,36,EE-Bot-C,10,PMT2-RA4,36,37
357,3,EE,FB0303,2R-9,8,7,B13-08,A18-08,36,EE-Bot-C,13,PMT2-RA4,38,39
358,2,EE,FB0320,2R-9,10,8,B13-10,A18-10,36,EE-Bot-C,3,PMT2-RA4,40,41
359,1,EE,FB0366,2R-9,7,9,B13-07,A18-07,36,EE-Bot-C,9,PMT2-RA4,37,38
360,0,EE,FB0271,2R-9,9,10,B13-09,A18-09,36,EE-Bot-C,4,PMT2-RA4,39,40
